title,Month,year,Budget($M),length,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,label
Dr. Dolittle 2,Jun,2001,72.0,87,5.1,4920,PG,0,0,1,0,0,0,0,0
The Bridges of Madison County,Jun,1995,22.0,135,6.9,7633,PG-13,0,0,0,1,0,1,0,0
Big Momma's House,Jun,2000,33.0,98,4.7,7509,PG-13,0,0,1,0,0,0,0,0
Scream,Dec,1996,15.0,111,7.0,43652,R,0,0,0,0,0,0,0,0
Along Came Polly,Jan,2004,42.0,90,5.8,9785,PG-13,0,0,1,0,0,1,0,0
The Santa Clause 2,Nov,2002,65.0,105,5.8,2616,,0,0,1,0,0,1,0,0
AVP: Alien Vs. Predator,Aug,2004,70.0,102,5.4,14651,PG-13,1,0,0,0,0,0,0,0
Starsky & Hutch,Mar,2004,60.0,101,6.3,13529,PG-13,1,0,1,0,0,0,0,0
The Saint,Apr,1997,90.0,116,5.7,12591,PG-13,1,0,0,0,0,1,0,0
The Emperor's New Groove,Dec,2000,100.0,78,7.4,8532,,0,1,1,0,0,0,0,0
Twelve Monkeys,Dec,1995,29.0,129,7.9,62301,R,0,0,0,1,0,0,0,0
Spy Kids 3-D: Game Over,Jul,2003,40.0,84,4.7,2597,PG,1,0,1,0,0,0,0,0
Dodgeball: A True Underdog Story,Jun,2004,30.0,92,6.6,14584,PG-13,0,0,1,0,0,0,0,0
Alexander,Nov,2004,155.0,175,5.5,11254,R,0,0,0,1,0,0,0,0
Nutty Professor II: The Klumps,Jul,2000,84.0,109,4.5,5825,PG-13,0,0,1,0,0,0,0,0
Stuart Little 2,Jul,2002,120.0,82,5.9,2324,PG,0,0,1,0,0,0,0,0
Contact,Jul,1997,90.0,153,7.3,36390,PG,0,0,0,1,0,0,0,0
The Scorpion King,Apr,2002,60.0,92,5.3,10111,PG-13,1,0,0,0,0,0,0,0
Sleepers,Oct,1996,44.0,147,7.0,17896,R,0,0,0,1,0,0,0,0
The Princess Diaries,Aug,2001,30.0,114,6.0,6892,,0,0,1,0,0,0,0,0
Cold Mountain,Dec,2003,80.0,152,7.4,15712,R,0,0,0,1,0,1,0,0
Deep Blue Sea,Jul,1999,60.0,105,5.5,17666,R,1,0,0,0,0,0,0,0
Bringing Down the House,Mar,2003,20.0,105,5.6,6501,PG-13,0,0,1,0,0,0,0,0
Daddy Day Care,May,2003,60.0,92,5.7,3803,PG,0,0,1,0,0,0,0,0
Maid in Manhattan,Dec,2002,55.0,105,4.6,12237,PG-13,0,0,1,0,0,1,0,0
Maid in Manhattan,Dec,2002,55.0,105,4.6,12237,PG-13,0,0,1,0,0,1,0,0
Johnny English,Jul,2003,45.0,87,5.6,8125,PG,1,0,1,0,0,0,0,0
The Interpreter,Apr,2005,90.0,128,6.6,4678,PG-13,0,0,0,1,0,0,0,0
Dick Tracy,Jun,1990,47.0,105,5.7,9939,,1,0,1,0,0,0,0,0
Scream 3,Feb,2000,40.0,116,5.4,15403,R,0,0,0,0,0,0,0,0
Live and Let Die,Jun,1973,7.0,121,6.6,8022,,1,0,0,0,0,0,0,0
Freaky Friday,Aug,2003,26.0,97,6.9,8052,PG,0,0,1,1,0,0,0,0
Alien: Resurrection,Nov,1997,60.0,116,6.0,24358,R,1,0,0,0,0,0,0,0
America's Sweethearts,Jul,2001,46.0,102,5.8,11849,PG-13,0,0,1,0,0,1,0,0
Legends of the Fall,Dec,1994,30.0,133,6.7,13327,,0,0,0,1,0,1,0,0
Never Say Never Again,Oct,1983,36.0,121,6.1,7537,,1,0,0,0,0,0,0,0
Black Hawk Down,Dec,2001,95.0,142,7.6,32530,R,1,0,0,1,0,0,0,0
The Sting,Dec,1973,5.5,129,8.4,23678,,0,0,1,1,0,0,0,1
Crimson Tide,May,1995,55.0,116,7.1,14033,R,1,0,0,1,0,0,0,0
Crimson Tide,May,1995,55.0,116,7.1,14033,R,1,0,0,1,0,0,0,0
The Jackal,Nov,1997,60.0,124,5.7,12753,R,0,0,0,0,0,0,0,0
Unforgiven,Aug,1992,14.4,131,8.1,30868,,0,0,0,1,0,0,0,0
Daylight,Dec,1996,80.0,110,5.4,6979,PG-13,1,0,0,1,0,0,0,0
Sin City,Apr,2005,40.0,124,8.3,23473,R,1,0,0,0,0,0,0,0
Days of Thunder,Jun,1990,60.0,107,5.4,9660,,1,0,0,1,0,1,0,0
Mystic River,Oct,2003,30.0,137,8.0,28969,R,0,0,0,1,0,0,0,0
Licence to Kill,Jul,1989,42.0,133,6.2,8523,,1,0,0,0,0,0,0,0
Monster-in-Law,May,2005,45.0,102,5.6,147,PG-13,0,0,1,0,0,1,0,0
The Haunted Mansion,Nov,2003,90.0,87,5.0,3341,PG,0,0,1,0,0,0,0,0
Scary Movie 3,Oct,2003,45.0,84,5.3,9225,PG-13,0,0,1,0,0,0,0,0
Cool Runnings,Oct,1993,14.0,98,6.3,7593,,0,0,1,0,0,0,0,0
The Phantom of the Opera,Dec,2004,55.0,143,7.2,11283,PG-13,0,0,0,1,0,1,0,0
The Phantom of the Opera,Dec,2004,55.0,143,7.2,11283,PG-13,0,0,0,1,0,1,0,0
Free Willy,Jul,1993,20.0,112,5.2,3799,,0,0,0,1,0,0,0,0
A View to a Kill,May,1985,30.0,131,5.9,8478,,1,0,0,0,0,0,0,0
Chocolat,Dec,2000,25.0,121,7.3,20031,PG-13,0,0,1,1,0,1,0,0
Antz,Oct,1998,60.0,83,7.0,16312,PG,0,1,1,0,0,0,0,0
A Time to Kill,Jul,1996,40.0,149,6.9,15577,R,0,0,0,1,0,0,0,0
Phenomenon,Jul,1996,32.0,123,6.3,12075,PG,0,0,0,1,0,1,0,0
Evita,Dec,1996,55.0,134,6.2,8371,PG,0,0,0,1,0,0,0,0
Evita,Dec,1996,55.0,134,6.2,8371,PG,0,0,0,1,0,0,0,0
Big,Jun,1988,18.0,104,7.2,18660,,0,0,1,0,0,0,0,0
The Bone Collector,Nov,1999,48.0,118,6.2,17766,R,0,0,0,1,0,0,0,0
Speed 2: Cruise Control,Jun,1997,110.0,121,3.3,13268,PG-13,1,0,0,0,0,1,0,0
Star Trek: First Contact,Nov,1996,46.0,106,7.3,25046,PG-13,1,0,0,0,0,0,0,0
The General's Daughter,Jun,1999,60.0,116,6.1,11128,R,0,0,0,1,0,0,0,0
Death Becomes Her,Jul,1992,55.0,99,5.6,9887,,0,0,1,0,0,0,0,0
Death Becomes Her,Jul,1992,55.0,99,5.6,9887,,0,0,1,0,0,0,0,0
Seabiscuit,Jul,2003,86.0,141,7.5,11552,PG-13,0,0,0,1,0,0,0,0
Broken Arrow,Feb,1996,65.0,108,5.7,14415,R,1,0,0,0,0,0,0,0
Gremlins,Jun,1984,11.0,106,6.8,15044,,1,0,1,0,0,0,0,0
Swordfish,Jun,2001,80.0,99,6.2,20455,R,1,0,0,0,0,0,0,0
The Mexican,Mar,2001,40.0,123,6.0,13935,R,0,0,1,0,0,1,0,0
Spy Game,Nov,2001,90.0,126,7.0,16736,R,1,0,0,1,0,0,0,0
Conspiracy Theory,Aug,1997,80.0,135,6.4,15470,R,0,0,0,1,0,1,0,0
Legally Blonde,Jul,2001,18.0,96,6.4,17572,PG-13,0,0,1,0,0,0,0,0
Gothika,Nov,2003,40.0,98,5.8,10524,R,0,0,0,0,0,0,0,0
Bad Boys,Apr,1995,23.0,118,6.4,15326,R,1,0,1,0,0,0,0,0
Mona Lisa Smile,Dec,2003,65.0,117,6.1,6838,PG-13,0,0,1,1,0,1,0,0
Thunderball,Dec,1965,9.0,130,6.8,8226,,1,0,0,0,0,0,0,0
Scary Movie 2,Jul,2001,45.0,83,4.2,12035,R,0,0,1,0,0,0,0,0
The Devil's Own,Mar,1997,90.0,111,5.7,8485,R,1,0,0,1,0,0,0,0
The Rugrats Movie,Nov,1998,28.0,79,5.4,1455,,0,1,1,0,0,0,0,0
The Jungle Book 2,Feb,2003,20.0,72,5.2,764,,0,1,0,0,0,0,0,0
American Graffiti,Aug,1973,0.777,110,7.6,12758,,0,0,1,1,0,0,0,0
Die Hard,Jul,1988,28.0,131,8.0,58870,,1,0,0,0,0,0,0,0
Star Trek: The Motion Picture,Dec,1979,35.0,143,5.8,10752,PG,0,0,0,0,0,0,0,0
Platoon,Dec,1986,6.0,120,8.1,35210,,1,0,0,1,0,0,0,0
Last Action Hero,Jun,1993,85.0,130,5.4,15266,,1,0,1,0,0,0,0,0
Anaconda,Apr,1997,45.0,89,4.1,10510,,1,0,0,0,0,0,0,0
Remember the Titans,Sep,2000,30.0,113,7.4,14195,PG,0,0,0,1,0,0,0,0
Sense and Sensibility,Dec,1995,16.5,136,7.7,13904,PG,0,0,1,1,0,1,0,0
The Cat in the Hat,Nov,2003,109.0,82,3.2,4997,PG,0,0,1,0,0,0,0,0
Star Trek IV: The Voyage Home,Nov,1986,24.0,136,7.1,11647,,0,0,1,0,0,0,0,0
A League of Their Own,Jul,1992,40.0,128,6.9,14318,,0,0,1,1,0,0,0,0
Seven Years in Tibet,Oct,1997,70.0,139,6.6,9426,PG-13,0,0,0,1,0,0,0,0
Blade: Trinity,Dec,2004,65.0,124,5.7,7439,R,1,0,0,0,0,0,0,0
Blade,Aug,1998,45.0,110,6.8,24372,R,1,0,0,0,0,0,0,0
Boomerang,Jul,1992,42.0,118,5.1,3530,,0,0,1,0,0,1,0,0
Wolf,Jun,1994,70.0,125,5.9,7192,,0,0,0,1,0,1,0,0
Man on Fire,Apr,2004,60.0,146,7.4,14358,R,1,0,0,1,0,0,0,0
Mean Girls,Apr,2004,18.0,97,7.0,11591,PG-13,0,0,1,1,0,0,0,0
About a Boy,May,2002,27.0,101,7.5,18318,PG-13,0,0,1,1,0,0,0,0
Jingle All the Way,Nov,1996,60.0,88,4.7,6246,PG,1,0,1,0,0,0,0,0
Space Cowboys,Aug,2000,65.0,130,6.4,11887,,0,0,0,1,0,0,0,0
The Talented Mr. Ripley,Dec,1999,40.0,139,7.0,25974,R,0,0,0,1,0,0,0,0
Gandhi,Dec,1982,22.0,188,8.0,15879,,0,0,0,1,0,0,0,0
U-571,Apr,2000,62.0,116,6.5,15792,PG-13,1,0,0,1,0,0,0,0
First Knight,Jul,1995,75.0,134,5.6,8708,PG-13,0,0,0,1,0,1,0,0
American Wedding,Aug,2003,55.0,103,6.3,13590,R,0,0,1,0,0,0,0,0
American Wedding,Aug,2003,55.0,103,6.3,13590,R,0,0,1,0,0,0,0,0
L.A. Confidential,Sep,1997,35.0,138,8.4,69600,,0,0,0,1,0,0,0,0
"Legally Blonde 2: Red, White & Blonde",Jul,2003,25.0,95,4.4,6293,PG-13,0,0,1,0,0,0,0,0
I Know What You Did Last Summer,Oct,1997,17.0,99,5.3,15932,R,0,0,0,0,0,0,0,0
First Blood,Oct,1982,14.0,97,6.8,11956,,1,0,0,1,0,0,0,0
Goldfinger,Dec,1964,3.0,112,7.8,19754,,1,0,0,0,0,0,0,0
The Family Man,Dec,2000,60.0,125,6.5,11220,PG-13,0,0,1,1,0,1,0,0
The Thomas Crown Affair,Aug,1999,48.0,113,6.7,17220,R,0,0,1,0,0,1,0,0
Big Fish,Dec,2003,70.0,125,8.1,31525,PG-13,0,0,1,1,0,0,0,0
Hide and Seek,Jan,2005,25.0,101,5.2,3784,R,0,0,0,1,0,0,0,0
Save the Last Dance,Jan,2001,13.0,112,6.1,7613,PG-13,0,0,0,1,0,1,0,0
Mortal Kombat,Aug,1995,20.0,101,5.0,8779,PG-13,1,0,0,0,0,0,0,0
Executive Decision,Mar,1996,55.0,134,6.3,7653,,1,0,0,0,0,0,0,0
Executive Decision,Mar,1996,55.0,134,6.3,7653,,1,0,0,0,0,0,0,0
The Princess Diaries 2: Royal Engagement,Aug,2004,45.0,115,5.3,2605,,0,0,1,0,0,1,0,0
Poltergeist,Jun,1982,10.7,114,7.3,11575,,0,0,0,0,0,0,0,0
Sahara,Apr,2005,145.0,124,5.8,3004,PG-13,1,0,1,0,0,0,0,0
Intolerable Cruelty,Oct,2003,60.0,100,6.6,11967,PG-13,0,0,1,0,0,1,0,0
Starship Troopers,Nov,1997,100.0,129,6.7,32618,R,1,0,0,0,0,0,0,0
Lethal Weapon,Mar,1987,15.0,117,7.5,20041,,1,0,1,0,0,0,0,0
Volcano,Apr,1997,90.0,104,5.2,8627,PG-13,1,0,0,1,0,0,0,0
Star Trek: Generations,Nov,1994,38.0,118,6.2,12651,,1,0,0,1,0,0,0,0
Jeepers Creepers II,Aug,2003,25.0,104,5.2,4069,R,0,0,0,0,0,0,0,0
Road Trip,May,2000,16.0,94,6.3,15981,R,0,0,1,0,0,0,0,0
Blazing Saddles,Feb,1974,2.6,93,7.7,17166,,0,0,1,0,0,0,0,0
Star Trek: Insurrection,Dec,1998,70.0,103,6.3,13395,PG,1,0,0,1,0,1,0,0
The Client,Jul,1994,45.0,119,6.4,8340,,0,0,0,1,0,0,0,0
Blue Streak,Sep,1999,36.0,93,5.8,7952,,1,0,1,0,0,0,0,0
Lost in Translation,Sep,2003,4.0,102,8.0,42450,R,0,0,1,1,0,0,0,0
Snow Dogs,Jan,2002,32.0,99,5.1,2379,PG,0,0,1,0,0,0,0,0
The Siege,Nov,1998,70.0,116,5.9,9725,R,1,0,0,1,0,0,0,0
The Notebook,Jun,2004,30.0,123,7.8,8830,PG-13,0,0,0,1,0,1,0,0
Diamonds Are Forever,Dec,1971,7.2,120,6.6,8738,,1,0,0,0,0,0,0,0
Finding Neverland,Nov,2004,25.0,106,8.1,17715,PG,0,0,0,1,0,0,0,0
Get Shorty,Oct,1995,30.25,105,7.0,14825,R,0,0,1,1,0,0,0,0
We Were Soldiers,Mar,2002,70.0,143,7.1,14939,R,1,0,0,1,0,0,0,0
Coyote Ugly,Aug,2000,45.0,100,5.4,13221,R,0,0,1,1,0,1,0,0
Insomnia,May,2002,46.0,118,7.3,22235,R,0,0,0,1,0,0,0,0
The Score,Jul,2001,68.0,124,6.8,16106,R,0,0,0,1,0,0,0,0
Judge Dredd,Jun,1995,85.0,96,4.6,9979,R,1,0,0,0,0,0,0,0
Species,Jul,1995,35.0,108,5.4,8963,R,1,0,0,1,0,0,0,0
Final Destination,Mar,2000,23.0,98,6.6,16504,R,0,0,0,0,0,0,0,0
Frankenstein,Nov,1994,45.0,123,6.0,6941,R,0,0,0,1,0,0,0,0
Doctor Zhivago,Dec,1965,11.0,200,7.9,10283,PG-13,0,0,0,1,0,1,0,0
The Pianist,Dec,2002,35.0,150,8.5,30467,R,0,0,0,1,0,0,0,0
You Only Live Twice,Jun,1967,9.5,117,6.8,8252,,1,0,0,0,0,0,0,0
White Chicks,Jun,2004,20.0,109,4.8,4782,PG-13,0,0,1,0,0,0,0,0
The Net,Jul,1995,22.0,114,5.6,12201,PG-13,1,0,0,1,0,0,0,0
Sideways,Oct,2004,17.0,123,8.0,17051,R,0,0,1,1,0,0,0,0
Porky's,Mar,1982,4.0,94,5.4,5483,,0,0,1,0,0,0,0,0
Billy Elliot,Oct,2000,5.0,110,7.7,16725,R,0,0,0,1,0,0,0,0
The Amityville Horror,Apr,2005,18.5,90,5.8,2945,R,0,0,0,0,0,0,0,0
One Flew Over the Cuckoo's Nest,Nov,1975,4.4,133,8.7,70234,,0,0,0,1,0,0,0,0
Hidalgo,Mar,2004,78.0,136,6.6,7328,PG-13,1,0,0,1,0,0,0,0
The Texas Chainsaw Massacre,Oct,2003,9.0,98,5.9,9587,R,1,0,0,0,0,0,0,0
The American President,Nov,1995,62.0,114,6.9,11834,PG-13,0,0,1,1,0,1,0,0
Three Kings,Oct,1999,48.0,114,7.3,31503,R,1,0,1,1,0,0,0,0
Ace Ventura: Pet Detective,Feb,1994,12.0,86,6.2,20705,PG-13,0,0,1,0,0,0,0,0
The Chronicles of Riddick,Jun,2004,120.0,135,6.2,11438,PG-13,1,0,0,0,0,0,0,0
Shaft,Jun,2000,53.012938,99,6.0,13742,R,1,0,0,0,0,0,0,0
Shaft,Jun,2000,53.012938,99,6.0,13742,R,1,0,0,0,0,0,0,0
About Schmidt,Dec,2002,30.0,125,7.3,23279,R,0,0,1,1,0,0,0,0
Driving Miss Daisy,Dec,1989,7.5,99,7.4,8656,,0,0,1,1,0,0,0,0
Spirit: Stallion of the Cimarron,May,2002,80.0,86,6.4,2738,,0,1,0,0,0,0,0,0
Mission to Mars,Mar,2000,90.0,113,4.9,15018,,0,0,0,1,0,0,0,0
Along Came a Spider,Apr,2001,28.0,104,6.1,9456,R,0,0,0,1,0,0,0,0
Training Day,Oct,2001,45.0,120,7.3,22776,R,0,0,0,1,0,0,0,0
The Tuxedo,Sep,2002,60.0,98,5.1,6070,PG-13,1,0,1,0,0,0,0,0
Under Siege 2: Dark Territory,Jul,1995,60.0,99,4.9,5551,R,1,0,0,1,0,0,0,0
Eyes Wide Shut,Jul,1999,65.0,159,7.0,37868,R,0,0,0,1,0,0,0,0
Snake Eyes,Aug,1998,73.0,98,5.7,12091,R,0,0,0,0,0,0,0,0
Saw,Oct,2004,1.2,100,7.5,17191,R,0,0,0,0,0,0,0,0
Resident Evil,Mar,2002,35.0,100,6.2,18978,R,1,0,0,0,0,0,0,0
Dawn of the Dead,Mar,2004,28.0,109,7.4,16283,R,1,0,0,1,0,0,0,0
Jimmy Neutron: Boy Genius,Dec,2001,25.0,84,6.0,2280,,0,1,1,0,0,0,0,0
The Cable Guy,Jun,1996,47.0,96,5.5,16266,PG-13,0,0,1,1,0,0,0,0
The Hitchhiker's Guide to the Galaxy,Apr,2005,45.0,110,6.9,7644,PG,0,0,1,0,0,0,0,0
Ladder 49,Oct,2004,60.0,115,6.5,5583,PG-13,1,0,0,1,0,0,0,0
Butch Cassidy and the Sundance Kid,Oct,1969,6.0,110,8.2,20168,,0,0,0,0,0,0,0,0
Mary Poppins,Aug,1964,6.0,140,7.6,13909,,0,1,1,1,0,0,0,0
John Q,Feb,2002,36.0,116,6.4,8952,PG-13,0,0,0,1,0,0,0,0
Guess Who,Mar,2005,35.0,106,4.9,1355,PG-13,0,0,1,0,0,1,0,0
Timecop,Sep,1994,28.0,98,5.5,5976,,1,0,0,0,0,0,0,0
Just Married,Jan,2003,19.0,95,5.0,5954,PG-13,0,0,1,0,0,1,0,0
Miss Congeniality 2: Armed and Fabulous,Mar,2005,60.0,115,5.0,1555,PG-13,0,0,1,0,0,0,0,0
Mars Attacks!,Dec,1996,80.0,106,6.1,27363,PG-13,1,0,1,0,0,0,0,0
Scream 2,Dec,1997,24.0,120,5.9,21533,R,0,0,0,0,0,0,0,0
Fight Club,Oct,1999,65.0,139,8.5,112092,R,0,0,0,1,0,0,0,0
Courage Under Fire,Jul,1996,46.0,117,6.7,8884,R,1,0,0,1,0,0,0,0
Up Close & Personal,Mar,1996,60.0,124,5.7,3201,PG-13,0,0,0,1,0,1,0,0
Any Given Sunday,Dec,1999,60.0,156,6.4,19531,R,0,0,0,1,0,0,0,0
Hellboy,Apr,2004,60.0,132,6.7,15565,PG-13,1,0,0,0,0,0,0,0
Street Fighter,Dec,1994,35.0,102,3.1,7321,,1,0,0,0,0,0,0,0
The Time Machine,Mar,2002,80.0,96,5.5,12424,PG-13,1,0,0,0,0,0,0,0
Paycheck,Dec,2003,60.0,119,6.1,10383,PG-13,1,0,0,0,0,0,0,0
Heaven Can Wait,Jun,1978,15.0,101,6.8,3569,,0,0,1,0,0,0,0,0
Bowfinger,Aug,1999,55.0,97,6.4,15000,PG-13,0,0,1,0,0,0,0,0
Bowfinger,Aug,1999,55.0,97,6.4,15000,PG-13,0,0,1,0,0,0,0,0
Evolution,Jun,2001,80.0,101,5.8,14232,PG-13,0,0,1,0,0,0,0,0
Predator,Jun,1987,18.0,107,7.4,25254,,1,0,0,0,0,0,0,0
Are We There Yet?,Jan,2005,20.0,95,3.5,1043,PG,0,0,1,0,0,0,0,0
Billy Jack,Jan,1971,0.8,114,5.5,994,,1,0,0,1,0,0,0,0
13 Going On 30,Apr,2004,37.0,98,6.4,7859,PG-13,0,0,1,1,0,1,0,0
The Man with the Golden Gun,Dec,1974,7.0,125,6.4,7425,,1,0,0,1,0,0,0,0
Once Upon a Time in Mexico,Sep,2003,29.0,102,6.0,14732,R,1,0,0,0,0,0,0,0
Inspector Gadget,Jul,1999,75.0,78,4.0,5288,PG,1,0,1,0,0,0,0,0
The Hours,Dec,2002,25.0,114,7.6,16692,PG-13,0,0,0,1,0,0,0,0
Enemy at the Gates,Mar,2001,85.0,131,7.3,19169,R,1,0,0,1,0,1,0,0
Star Trek VI: The Undiscovered Country,Dec,1991,27.0,113,6.9,10367,,1,0,0,0,0,0,0,0
8MM,Feb,1999,40.0,123,5.9,18541,R,0,0,0,0,0,0,0,0
The Stepford Wives,Jun,2004,100.0,93,5.3,7773,PG-13,0,0,1,1,0,0,0,0
The Manchurian Candidate,Jul,2004,80.0,129,6.7,9896,R,0,0,0,0,0,0,0,0
The Tigger Movie,Feb,2000,20.0,77,6.1,1376,,0,1,1,0,0,0,0,0
The 6th Day,Nov,2000,82.0,123,5.9,12064,PG-13,1,0,0,0,0,0,0,0
Harlem Nights,Nov,1989,30.0,116,5.0,2036,,0,0,1,1,0,1,0,0
The Butterfly Effect,Jan,2004,13.0,120,7.6,22975,R,0,0,0,1,0,0,0,0
Peter Pan,Dec,2003,100.0,113,7.2,5596,PG,1,0,0,0,0,0,0,0
40 Days and 40 Nights,Mar,2002,17.0,96,5.4,8609,R,0,0,1,1,0,1,0,0
Be Cool,Mar,2005,75.0,118,5.5,4560,PG-13,0,0,1,0,0,0,0,0
1941,Dec,1979,32.0,146,5.6,5536,,0,0,1,0,0,0,0,0
The Wedding Planner,Jan,2001,28.0,103,4.9,7393,PG-13,0,0,1,0,0,1,0,0
The River Wild,Sep,1994,45.0,111,6.1,4942,,1,0,0,1,0,0,0,0
The Color Purple,Dec,1985,15.0,154,7.6,10599,,0,0,0,1,0,0,0,0
Calendar Girls,Dec,2003,10.0,108,7.1,3618,PG-13,0,0,1,1,0,0,0,0
Deuce Bigalow: Male Gigolo,Dec,1999,18.0,88,5.6,9897,R,0,0,1,0,0,0,0,0
I Am Sam,Dec,2001,22.0,132,7.2,9945,PG-13,0,0,0,1,0,0,0,0
Secret Window,Mar,2004,40.0,96,6.3,13260,PG-13,0,0,0,1,0,0,0,0
Treasure Planet,Nov,2002,100.0,95,6.6,3724,PG,0,1,0,1,0,0,0,0
Romeo Must Die,Mar,2000,25.0,115,5.8,10229,R,1,0,0,1,0,0,0,0
The Karate Kid,Jun,1984,8.0,126,6.6,10783,,0,0,0,1,0,0,0,0
Kangaroo Jack,Jan,2003,60.0,89,3.9,3661,PG,0,0,1,0,0,0,0,0
Autumn in New York,Aug,2000,40.0,103,4.7,3731,PG-13,0,0,0,1,0,1,0,0
King Kong,Dec,1976,23.0,134,5.3,3181,,0,0,1,0,0,1,0,0
Galaxy Quest,Dec,1999,45.0,102,7.2,22341,PG,0,0,1,0,0,0,0,0
Final Destination 2,Jan,2003,26.0,90,6.3,8481,R,0,0,0,0,0,0,0,0
Bedazzled,Oct,2000,48.0,93,5.9,11439,PG-13,0,0,1,0,0,0,0,0
Racing Stripes,Jan,2005,30.0,84,4.8,703,PG,0,1,1,0,0,0,0,0
Anchorman: The Legend of Ron Burgundy,Jul,2004,25.0,104,6.5,11553,PG-13,0,0,1,0,0,0,0,0
Stigmata,Sep,1999,32.0,103,6.0,14062,R,0,0,0,1,0,0,0,0
Spawn,Jul,1997,40.0,98,4.6,7523,PG-13,1,0,0,0,0,0,0,0
Ali,Dec,2001,109.0,165,6.4,9294,R,0,0,0,1,0,0,0,0
Bicentennial Man,Dec,1999,90.0,132,6.2,8925,PG,0,0,0,1,0,1,0,0
Peter Pan,Feb,1953,4.0,76,7.2,4891,,0,1,0,0,0,0,0,0
Sabrina,Dec,1995,58.0,127,6.1,7547,PG,0,0,1,1,0,1,0,0
Sabrina,Dec,1995,58.0,127,6.1,7547,PG,0,0,1,1,0,1,0,0
Star Trek III: The Search for Spock,Jun,1984,18.0,105,6.2,9808,,1,0,0,0,0,0,0,0
Old School,Feb,2003,24.0,92,6.7,14283,R,0,0,1,0,0,0,0,0
Rat Race,Aug,2001,48.0,112,6.5,13913,PG-13,0,0,1,0,0,0,0,0
Young Frankenstein,Dec,1974,2.8,106,8.0,22281,,0,0,1,0,0,0,0,0
The Cell,Aug,2000,35.0,109,6.1,16118,R,0,0,0,0,0,0,0,0
Tears of the Sun,Mar,2003,75.0,121,6.2,8690,R,1,0,0,1,0,0,0,0
The Whole Nine Yards,Feb,2000,24.0,98,6.6,17678,,0,0,1,0,0,0,0,0
Stripes,Jun,1981,10.0,106,6.8,7406,R,0,0,1,0,0,0,0,0
Final Fantasy: The Spirits Within,Jul,2001,137.0,106,6.5,16451,PG-13,1,1,0,0,0,0,0,0
Pinocchio,Feb,1940,2.289247,88,7.7,6805,,0,1,0,0,0,0,0,0
Point Break,Jul,1991,24.0,120,6.5,11180,,1,0,0,1,0,0,0,0
Airplane!,Jul,1980,3.5,88,7.8,23369,,0,0,1,0,0,0,0,0
Fantasia,Nov,1940,2.28,80,7.8,14925,,0,1,0,0,0,0,0,0
Assassins,Oct,1995,50.0,132,5.7,7354,R,1,0,0,0,0,0,0,0
Blow,Apr,2001,30.0,124,7.1,18670,R,0,0,0,1,0,0,0,0
In & Out,Sep,1997,35.0,92,6.2,10352,PG-13,0,0,1,0,0,0,0,0
Dead Man Walking,Dec,1995,11.0,122,7.6,16177,R,0,0,0,1,0,0,0,0
Men of Honor,Nov,2000,32.0,129,6.6,9684,R,0,0,0,1,0,0,0,0
Identity,Apr,2003,28.0,90,7.3,18747,R,0,0,0,1,0,0,0,0
Elizabeth,Nov,1998,25.0,124,7.6,14733,R,0,0,0,1,0,0,0,0
Reign of Fire,Feb,2002,60.0,101,5.8,11452,PG-13,1,0,0,0,0,0,0,0
Catwoman,Jul,2004,100.0,104,3.4,8815,PG-13,1,0,0,0,0,0,0,0
On Her Majesty's Secret Service,Dec,1969,8.0,140,6.7,7219,,1,0,0,0,0,1,0,0
The Land Before Time,Nov,1988,12.3,70,6.4,3630,,0,1,0,1,0,0,0,0
Midnight Run,Jul,1988,30.0,126,7.5,9196,,1,0,1,0,0,0,0,0
Hope Floats,May,1998,30.0,114,5.3,4382,PG-13,0,0,1,1,0,1,0,0
Apocalypse Now,Aug,1979,31.5,202,8.5,64785,R,1,0,0,1,0,0,0,0
Fried Green Tomatoes,Dec,1991,11.0,130,7.4,10777,,0,0,1,1,0,0,0,0
Police Academy,Mar,1984,4.5,96,5.7,8268,,0,0,1,0,0,0,0,0
The Rundown,Sep,2003,85.0,104,6.5,8067,PG-13,1,0,1,0,0,0,0,0
Sinbad: Legend of the Seven Seas,Jul,2003,60.0,86,6.5,2340,PG,0,1,0,0,0,0,0,0
Fiddler on the Roof,Jan,1971,9.0,181,7.6,5893,,0,0,0,1,0,0,0,0
The Rookie,Mar,2002,22.0,127,7.2,5135,,0,0,0,1,0,0,0,0
Finding Forrester,Dec,2000,43.0,136,7.3,13439,PG-13,0,0,0,1,0,0,0,0
Footloose,Feb,1984,8.2,107,5.9,5914,,0,0,0,1,0,0,0,0
The Ten Commandments,Oct,1956,13.5,220,7.7,8895,,0,0,0,1,0,0,0,0
Exit Wounds,Mar,2001,33.0,101,5.3,5370,R,1,0,0,0,0,0,0,0
The Golden Child,Dec,1986,12.0,94,5.3,6056,,1,0,1,0,0,0,0,0
Jackass: The Movie,Oct,2002,5.0,87,6.1,8893,R,0,0,1,0,1,0,0,0
Conan the Barbarian,May,1982,20.0,129,6.5,13624,,1,0,0,0,0,0,0,0
Showtime,Mar,2002,85.0,96,5.5,7689,PG-13,1,0,1,0,0,0,0,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Mar,1991,25.0,88,4.6,3429,,1,0,0,0,0,0,0,0
